GEOmeID,NAME,MedianIncome
0500000US12111,"St. Lucie County, Florida",66530
0500000US12113,"Santa Rosa County, Florida",87862
0500000US12115,"Sarasota County, Florida",77705
0500000US12117,"Seminole County, Florida",80547
0500000US12119,"Sumter County, Florida",74715
0500000US12127,"Volusia County, Florida",66273
0500000US12131,"Walton County, Florida",78801
0500000US13013,"Barrow County, Georgia",65914
0500000US13015,"Bartow County, Georgia",80511
0500000US13021,"Bibb County, Georgia",51254
0500000US13031,"Bulloch County, Georgia",54007
0500000US13045,"Carroll County, Georgia",71891
0500000US13047,"Catoosa County, Georgia",70653
0500000US13051,"Chatham County, Georgia",70904
0500000US13057,"Cherokee County, Georgia",103691
0500000US13059,"Clarke County, Georgia",54352
0500000US13063,"Clayton County, Georgia",58359
0500000US13067,"Cobb County, Georgia",99382
0500000US13073,"Columbia County, Georgia",96540
0500000US13077,"Coweta County, Georgia",92150
0500000US13089,"DeKalb County, Georgia",77861
0500000US13095,"Dougherty County, Georgia",45769
0500000US13097,"Douglas County, Georgia",81339
0500000US13103,"Effingham County, Georgia",81733
0500000US13113,"Fayette County, Georgia",106849
0500000US13115,"Floyd County, Georgia",62098
0500000US13117,"Forsyth County, Georgia",134821
0500000US13121,"Fulton County, Georgia",95371
0500000US13127,"Glynn County, Georgia",71914
0500000US13135,"Gwinnett County, Georgia",83917
0500000US13139,"Hall County, Georgia",77891
0500000US13151,"Henry County, Georgia",80374
0500000US13153,"Houston County, Georgia",75825
0500000US13157,"Jackson County, Georgia",84749
0500000US13179,"Liberty County, Georgia",58308
0500000US13185,"Lowndes County, Georgia",54509
0500000US13215,"Muscogee County, Georgia",51835
0500000US13217,"Newton County, Georgia",79640
0500000US13223,"Paulding County, Georgia",94126
0500000US13245,"Richmond County, Georgia",51985
0500000US13247,"Rockdale County, Georgia",82339
0500000US13255,"Spalding County, Georgia",56169
0500000US13285,"Troup County, Georgia",64728
0500000US13295,"Walker County, Georgia",58594
0500000US13297,"Walton County, Georgia",77346
0500000US13313,"Whitfield County, Georgia",62824
0500000US15001,"Hawaii County, Hawaii",74580
0500000US15003,"Honolulu County, Hawaii",103131
0500000US15007,"Kauai County, Hawaii",103564
0500000US15009,"Maui County, Hawaii",83691
0500000US16001,"Ada County, Idaho",90526
0500000US16005,"Bannock County, Idaho",68495
0500000US16019,"Bonneville County, Idaho",73649
0500000US16027,"Canyon County, Idaho",72007
0500000US16055,"Kootenai County, Idaho",73456
0500000US16083,"Twin Falls County, Idaho",66643
0500000US17019,"Champaign County, Illinois",59574
0500000US17031,"Cook County, Illinois",80579
0500000US17037,"DeKalb County, Illinois",67697
0500000US17043,"DuPage County, Illinois",106961
0500000US17089,"Kane County, Illinois",97633
0500000US17091,"Kankakee County, Illinois",66788
0500000US17093,"Kendall County, Illinois",111349
0500000US17097,"Lake County, Illinois",108364
0500000US17099,"LaSalle County, Illinois",72737
0500000US17111,"McHenry County, Illinois",100884
0500000US17113,"McLean County, Illinois",77200
0500000US17115,"Macon County, Illinois",58297
0500000US17119,"Madison County, Illinois",73041
0500000US17143,"Peoria County, Illinois",61488
0500000US17161,"Rock Island County, Illinois",63087
0500000US17163,"St. Clair County, Illinois",65546
0500000US17167,"Sangamon County, Illinois",72496
0500000US17179,"Tazewell County, Illinois",72056
0500000US17183,"Vermilion County, Illinois",46507
0500000US17197,"Will County, Illinois",103482
0500000US17199,"Williamson County, Illinois",60135
0500000US17201,"Winnebago County, Illinois",65513
0500000US18003,"Allen County, Indiana",65704
0500000US18005,"Bartholomew County, Indiana",81832
0500000US18011,"Boone County, Indiana",103592
0500000US18019,"Clark County, Indiana",71711
0500000US18035,"Delaware County, Indiana",55206
0500000US18039,"Elkhart County, Indiana",67188
